Date,CompanyID,Daily_Return,Trading_Volume,Value_at_Risk,Volatility,Liquidity_Ratio,Environmental_Score,Social_Score,Governance_Score,ESG_Combined_Score,Risk_Category,Compliance_Status,Market_Sentiment
2022-01-10,10,0.0111,1039115,2.592,15.81,127.28,76.37,71.09,72.99,73.48,Low,Under Review,Neutral
2022-01-10,11,0.011,1015695,2.593,15.62,123.36,83.26,85.22,79.52,82.67,Low,Compliant,Neutral
2022-01-10,12,0.0119,1079053,2.362,13.92,112.88,82.54,73.44,76.5,77.49,Low,Compliant,Bullish
2022-01-10,13,0.0115,1088147,2.445,16.92,128.9,84.79,77.62,77.14,79.85,Medium,Compliant,Bullish
2022-01-10,14,0.012,1038515,2.61,13.95,116.87,74.42,82.22,86.35,81.0,Medium,Compliant,Neutral
2022-01-10,15,0.011,916282,2.785,15.06,128.16,79.93,72.63,86.93,79.83,High,Compliant,Neutral
2022-01-11,1,0.0101,1055031,2.5,14.17,125.17,72.7,71.2,72.01,71.97,Low,Compliant,Bullish
2022-01-11,2,0.0112,998900,2.628,14.15,115.86,84.24,87.49,73.33,81.69,Low,Compliant,Neutral
2022-01-11,3,0.0112,1029044,2.535,16.29,114.61,78.69,77.47,83.08,79.75,Low,Compliant,Neutral
2022-01-11,4,0.0106,1046187,2.409,15.16,112.65,74.3,89.45,84.76,82.84,Low,Compliant,Neutral
2022-01-11,5,0.0109,985634,2.856,16.32,115.36,89.75,75.93,81.95,82.54,Low,Compliant,Neutral
2022-01-11,6,0.0102,1101013,2.802,14.7,113.33,85.29,84.61,70.62,80.17,Low,Compliant,Bullish
2022-01-11,7,0.0101,942004,2.396,14.65,124.52,90.61,88.95,72.59,84.05,Low,Compliant,Neutral
2022-01-11,8,0.0098,1051452,2.731,14.63,124.1,81.52,76.68,87.77,81.99,High,Under Review,Bullish
2022-01-11,9,0.0089,915963,2.536,15.76,123.8,84.59,74.86,70.87,76.77,Low,Compliant,Neutral
2022-01-11,10,0.0089,1103290,2.875,16.37,125.18,76.48,71.15,73.02,73.55,Low,Compliant,Bullish
2022-01-11,11,0.0086,938270,2.512,15.26,129.4,83.37,85.29,79.55,82.74,Low,Compliant,Neutral
2022-01-11,12,0.0095,934843,2.479,15.03,131.83,82.65,73.5,76.53,77.56,Very High,Compliant,Neutral
2022-01-11,13,0.0088,983455,2.651,16.86,115.21,84.9,77.68,77.17,79.92,Medium,Compliant,Neutral
2022-01-11,14,0.009,991874,2.79,14.23,123.93,74.52,82.28,86.38,81.06,Very High,Compliant,Neutral
2022-01-11,15,0.0095,959622,2.454,15.37,111.53,80.03,72.7,86.96,79.9,Medium,Compliant,Neutral
2022-01-12,1,0.0082,1035278,2.724,15.13,112.57,72.8,71.27,72.04,72.04,Very High,Compliant,Neutral
2022-01-12,2,0.0083,1006495,2.385,14.17,125.6,84.35,87.55,73.36,81.75,Low,Compliant,Neutral
2022-01-12,3,0.0086,923421,2.833,14.7,121.52,78.79,77.54,83.12,79.82,Low,Compliant,Neutral
2022-01-12,4,0.0076,981726,2.395,13.96,128.16,74.4,89.52,84.8,82.91,Medium,Compliant,Neutral
2022-01-12,5,0.0072,1081875,2.83,16.58,120.07,89.85,76.0,81.98,82.61,Very High,Compliant,Bullish
2022-01-12,6,0.0073,1057457,2.609,15.75,112.82,85.4,84.67,70.65,80.24,High,Compliant,Bullish
2022-01-12,7,0.0069,1064801,2.586,16.39,130.99,90.72,89.01,72.62,84.12,Medium,Compliant,Bullish
2022-01-12,8,0.0079,1059527,2.86,15.48,111.76,81.62,76.74,87.8,82.05,Low,Compliant,Bullish
2022-01-12,9,0.0075,980780,2.869,15.73,114.36,84.7,74.92,70.9,76.84,Low,Compliant,Neutral
2022-01-12,10,0.007,937859,2.691,16.04,116.52,76.59,71.21,73.05,73.62,Low,Under Review,Neutral
2022-01-12,11,0.0071,973257,2.417,16.68,134.06,83.47,85.35,79.59,82.8,Low,Compliant,Neutral
2022-01-12,12,0.0068,1087501,2.615,14.16,119.97,82.76,73.57,76.56,77.63,Low,Compliant,Bullish
2022-01-12,13,0.0058,1118016,2.626,14.9,122.05,85.01,77.75,77.2,79.99,Low,Compliant,Bullish
2022-01-12,14,0.0065,1018915,2.618,16.07,128.61,74.63,82.35,86.42,81.13,High,Compliant,Neutral
2022-01-12,15,0.0059,920287,2.647,16.84,125.37,80.14,72.76,86.99,79.96,Low,Compliant,Neutral
2022-01-13,1,0.0059,947045,2.359,16.91,130.39,72.91,71.33,72.07,72.1,Low,Compliant,Neutral
2022-01-13,2,0.0058,984363,2.72,15.85,121.74,84.46,87.61,73.39,81.82,Low,Compliant,Neutral
2022-01-13,3,0.005,1036899,2.72,14.48,133.62,78.9,77.6,83.15,79.88,Low,Compliant,Neutral
2022-01-13,4,0.0046,934257,2.408,14.25,129.35,74.51,89.58,84.83,82.97,Low,Compliant,Neutral
2022-01-13,5,0.0045,1111747,2.645,16.81,119.71,89.96,76.06,82.01,82.68,Low,Compliant,Bullish
2022-01-13,6,0.0045,993807,2.644,15.23,119.24,85.5,84.73,70.68,80.3,Very High,Compliant,Neutral
2022-01-13,7,0.0046,1105832,2.703,14.49,132.65,90.82,89.08,72.65,84.18,Medium,Compliant,Bullish
2022-01-13,8,0.0044,1079031,2.391,16.77,126.68,81.73,76.81,87.84,82.13,Low,Compliant,Bullish
2022-01-13,9,0.0035,1074085,2.673,14.21,125.15,84.81,74.99,70.94,76.91,Medium,Compliant,Bullish
2022-01-13,10,0.0037,1043865,2.492,16.14,128.5,76.69,71.28,73.08,73.68,Low,Compliant,Neutral
2022-01-13,11,0.0034,1048142,2.61,15.82,123.7,83.58,85.42,79.62,82.87,Low,Compliant,Neutral
2022-01-13,12,0.0031,1050611,2.748,14.16,113.9,82.86,73.63,76.59,77.69,Low,Compliant,Bullish
2022-01-13,13,0.0028,1048889,2.713,14.94,117.83,85.11,77.81,77.23,80.05,Low,Compliant,Neutral
2022-01-13,14,0.0027,1033724,2.406,14.36,123.68,74.74,82.41,86.45,81.2,High,Compliant,Neutral
2022-01-13,15,0.0028,1122417,2.652,15.76,110.5,80.25,72.83,87.03,80.04,High,Compliant,Bullish
2022-01-14,1,0.0023,1070607,2.849,15.37,120.76,73.02,71.39,72.11,72.17,Low,Compliant,Bullish
2022-01-14,2,0.0022,1079924,2.425,13.91,128.57,84.56,87.68,73.42,81.89,Medium,Compliant,Bullish
2022-01-14,3,0.0021,1099655,2.787,16.91,114.11,79.0,77.66,83.18,79.95,Low,Compliant,Bullish
2022-01-14,4,0.0017,965376,2.709,14.98,111.69,74.62,89.65,84.86,83.04,Low,Compliant,Neutral
2022-01-14,5,0.0017,938543,2.746,14.7,130.58,90.06,76.13,82.04,82.74,Low,Compliant,Neutral
2022-01-14,6,0.0015,1020428,2.489,14.59,125.25,85.61,84.8,70.72,80.38,Medium,Compliant,Neutral
2022-01-14,7,0.0011,1026986,2.492,14.39,114.48,90.93,89.14,72.69,84.25,Low,Compliant,Neutral
2022-01-14,8,0.001,1091707,2.813,16.99,129.91,81.83,76.87,87.87,82.19,Medium,Compliant,Bullish
2022-01-14,9,0.0007,1012926,2.529,14.81,126.3,84.91,75.05,70.97,76.98,High,Compliant,Neutral
2022-01-14,10,0.0006,1039134,2.374,15.16,118.38,76.8,71.34,73.12,73.75,High,Compliant,Neutral
2022-01-14,11,0.0004,1030334,2.653,16.6,119.42,83.69,85.48,79.65,82.94,Low,Compliant,Neutral
2022-01-14,12,0.0002,930292,2.406,15.89,114.04,82.97,73.7,76.63,77.77,Low,Compliant,Neutral
2022-01-14,13,0.0,1048750,2.755,15.05,130.7,85.22,77.88,77.27,80.12,Low,Compliant,Neutral
2022-01-14,14,-0.0001,1092567,2.674,16.68,122.72,74.84,82.48,86.48,81.27,Very High,Compliant,Bearish
2022-01-14,15,-0.0003,955225,2.795,16.23,123.92,80.35,72.89,87.06,80.1,High,Compliant,Neutral
2022-01-17,1,-0.0005,1044991,2.748,14.62,131.93,73.12,71.46,72.14,72.24,High,Compliant,Neutral
2022-01-17,2,-0.0006,1045017,2.398,15.9,110.68,84.67,87.74,73.46,81.96,Medium,Compliant,Neutral
2022-01-17,3,-0.0008,957074,2.538,16.77,111.95,79.11,77.73,83.21,80.02,Medium,Compliant,Neutral
2022-01-17,4,-0.001,948876,2.742,15.45,114.29,74.72,89.71,84.89,83.11,Low,Compliant,Neutral
2022-01-17,5,-0.0013,1124862,2.557,16.18,111.08,90.17,76.19,82.08,82.81,High,Compliant,Bearish
2022-01-17,6,-0.0012,1004676,2.845,16.92,126.49,85.71,84.86,70.75,80.44,High,Compliant,Neutral
2022-01-17,7,-0.0015,970697,2.722,16.05,125.92,91.03,89.2,72.72,84.32,Low,Compliant,Neutral
2022-01-17,8,-0.0017,959338,2.347,14.24,115.55,81.94,76.93,87.9,82.26,Low,Compliant,Neutral
2022-01-17,9,-0.0017,1061434,2.797,14.68,114.06,85.02,75.11,71.0,77.04,High,Compliant,Bearish
2022-01-17,10,-0.002,1049663,2.392,15.76,113.99,76.9,71.41,73.15,73.82,Low,Compliant,Neutral
2022-01-17,11,-0.002,1056845,2.412,14.78,133.82,83.79,85.54,79.68,83.0,High,Compliant,Bearish
2022-01-17,12,-0.0022,942854,2.721,16.89,127.46,83.07,73.76,76.66,77.83,Medium,Compliant,Neutral
2022-01-17,13,-0.0023,1108578,2.789,15.18,124.83,85.33,77.94,77.3,80.19,Medium,Under Review,Bearish
2022-01-17,14,-0.0024,1005099,2.618,15.35,118.39,74.95,82.54,86.51,81.33,Medium,Compliant,Neutral
2022-01-17,15,-0.0023,989661,2.49,16.1,121.12,80.46,72.95,87.09,80.17,Medium,Compliant,Neutral
2022-01-18,1,-0.0028,1020464,2.522,15.56,112.7,73.23,71.52,72.17,72.31,Low,Compliant,Neutral
2022-01-18,2,-0.0026,1005765,2.518,15.12,135.03,84.77,87.81,73.49,82.02,Very High,Compliant,Neutral
2022-01-18,3,-0.0026,1103338,2.51,14.17,129.08,79.22,77.79,83.24,80.08,Very High,Compliant,Bearish
2022-01-18,4,-0.0026,1117035,2.467,15.79,125.81,74.83,89.77,84.93,83.18,Medium,Compliant,Bearish
2022-01-18,5,-0.0031,988443,2.657,16.63,125.0,90.27,76.25,82.11,82.88,Medium,Compliant,Neutral
2022-01-18,6,-0.0032,1103961,2.809,16.07,122.97,85.82,84.93,70.78,80.51,Medium,Compliant,Bearish
2022-01-18,7,-0.0029,1087181,2.501,15.13,116.92,91.14,89.27,72.75,84.39,Medium,Compliant,Bearish
2022-01-18,8,-0.0032,1118096,2.438,14.34,116.17,82.04,77.0,87.93,82.32,Very High,Compliant,Bearish
2022-01-18,9,-0.0031,977218,2.778,16.48,124.13,85.12,75.18,71.03,77.11,Low,Compliant,Neutral
2022-01-18,10,-0.0035,1045593,2.728,16.87,112.36,77.01,71.47,73.18,73.89,Low,Compliant,Neutral
2022-01-18,11,-0.0032,983474,2.827,15.16,112.48,83.9,85.61,79.71,83.07,Very High,Compliant,Neutral
2022-01-18,12,-0.0036,1096854,2.429,16.22,124.46,83.18,73.82,76.69,77.9,Low,Compliant,Bearish
2022-01-18,13,-0.0034,928327,2.418,15.23,133.3,85.43,78.0,77.33,80.25,High,Compliant,Neutral
2022-01-18,14,-0.0039,1043785,2.626,15.52,133.19,75.05,82.6,86.54,81.4,Low,Compliant,Neutral
2022-01-18,15,-0.0033,997454,2.664,16.56,110.98,80.56,73.02,87.12,80.23,Very High,Compliant,Neutral
2022-01-19,1,-0.0035,994214,2.595,14.23,113.37,73.33,71.58,72.2,72.37,High,Compliant,Neutral
2022-01-19,2,-0.0033,1060817,2.657,15.61,125.09,84.88,87.87,73.52,82.09,Very High,Compliant,Bearish
2022-01-19,3,-0.0039,1103594,2.44,14.64,131.64,79.32,77.85,83.28,80.15,Very High,Compliant,Bearish
2022-01-19,4,-0.0039,1053804,2.596,15.03,134.27,74.93,89.84,84.96,83.24,Low,Compliant,Bearish
2022-01-19,5,-0.0035,1104309,2.69,15.98,131.97,90.38,76.32,82.14,82.95,Medium,Compliant,Bearish
2022-01-19,6,-0.0037,983054,2.573,14.06,127.49,85.92,84.99,70.81,80.57,Medium,Under Review,Neutral
2022-01-19,7,-0.0038,1035819,2.703,15.83,115.75,91.24,89.33,72.78,84.45,High,Compliant,Neutral
2022-01-19,8,-0.0036,1021756,2.584,14.87,112.62,82.15,77.06,87.96,82.39,Low,Compliant,Neutral
2022-01-19,9,-0.0036,931326,2.524,16.07,112.02,85.23,75.24,71.06,77.18,Very High,Compliant,Neutral
2022-01-19,10,-0.0034,1044037,2.509,14.43,125.94,77.11,71.53,73.21,73.95,Low,Compliant,Neutral
2022-01-19,11,-0.0032,1065832,2.566,16.28,111.77,84.0,85.67,79.75,83.14,High,Under Review,Bearish
2022-01-19,12,-0.0037,1051632,2.364,16.01,129.11,83.28,73.89,76.72,77.96,Medium,Compliant,Bearish
2022-01-19,13,-0.0037,1081627,2.702,17.02,128.47,85.53,78.07,77.36,80.32,Medium,Compliant,Bearish
2022-01-19,14,-0.0034,1047729,2.796,16.84,112.89,75.16,82.67,86.58,81.47,Low,Compliant,Neutral
2022-01-19,15,-0.0032,943638,2.54,14.89,133.29,80.67,73.08,87.15,80.3,Low,Compliant,Neutral
2022-01-20,1,-0.0031,954065,2.38,14.1,123.82,73.43,71.65,72.23,72.44,Low,Compliant,Neutral
2022-01-20,2,-0.0033,1053445,2.873,16.06,133.27,84.98,87.93,73.55,82.15,Medium,Compliant,Bearish
2022-01-20,3,-0.0033,987155,2.496,15.9,133.22,79.42,77.92,83.31,80.22,Medium,Compliant,Neutral
2022-01-20,4,-0.0032,946929,2.425,14.11,115.86,75.03,89.9,84.99,83.31,High,Compliant,Neutral
2022-01-20,5,-0.003,1019458,2.553,14.41,120.41,90.48,76.38,82.17,83.01,Low,Compliant,Neutral
2022-01-20,6,-0.0029,1045423,2.748,15.85,114.36,86.03,85.05,70.85,80.64,Medium,Compliant,Neutral
2022-01-20,7,-0.0025,998931,2.516,16.88,130.17,91.35,89.39,72.81,84.52,Very High,Compliant,Neutral
2022-01-20,8,-0.0024,1080138,2.664,16.86,123.51,82.25,77.12,88.0,82.46,High,Compliant,Bearish
2022-01-20,9,-0.0027,1064452,2.582,14.51,134.01,85.33,75.3,71.1,77.24,Low,Under Review,Bearish
2022-01-20,10,-0.0024,1000269,2.427,15.24,116.24,77.22,71.6,73.24,74.02,High,Compliant,Neutral
2022-01-20,11,-0.002,1087803,2.54,14.18,128.11,84.1,85.73,79.78,83.2,Very High,Compliant,Bearish
2022-01-20,12,-0.0019,1065999,2.749,15.52,135.56,83.39,73.95,76.75,78.03,Very High,Compliant,Bearish
2022-01-20,13,-0.002,1063846,2.691,16.41,127.58,85.64,78.13,77.39,80.39,High,Compliant,Bearish
2022-01-20,14,-0.0016,1046620,2.433,16.53,112.86,75.26,82.73,86.61,81.53,Medium,Compliant,Neutral
2022-01-20,15,-0.0015,934513,2.457,15.62,125.71,80.77,73.14,87.19,80.37,Low,Under Review,Neutral
2022-01-21,1,-0.0015,1076609,2.71,14.37,115.64,73.54,71.71,72.27,72.51,Medium,Compliant,Bearish
2022-01-21,2,-0.0014,1010382,2.803,15.27,111.96,85.08,88.0,73.58,82.22,Medium,Compliant,Neutral
2022-01-21,3,-0.0012,1127969,2.56,16.99,119.5,79.53,77.98,83.34,80.28,Low,Under Review,Bearish
2022-01-21,4,-0.0009,1102322,2.691,14.8,117.82,75.14,89.96,85.02,83.37,Low,Compliant,Bearish
2022-01-21,5,-0.0008,1054761,2.468,15.09,130.76,90.59,76.44,82.2,83.08,Low,Compliant,Bearish
2022-01-21,6,-0.0006,985366,2.544,16.43,120.51,86.13,85.12,70.88,80.71,Medium,Compliant,Neutral
2022-01-21,7,-0.0004,975478,2.392,16.39,129.41,91.45,89.46,72.85,84.59,Low,Under Review,Neutral
2022-01-21,8,-0.0003,1003986,2.789,16.96,111.71,82.35,77.19,88.03,82.52,Medium,Compliant,Neutral
2022-01-21,9,-0.0,1032403,2.596,15.32,111.69,85.43,75.37,71.13,77.31,High,Compliant,Neutral
2022-01-21,10,0.0002,995121,2.818,15.72,112.06,77.32,71.66,73.28,74.09,Low,Compliant,Neutral
2022-01-21,11,0.0004,1040704,2.763,15.58,116.78,84.21,85.8,79.81,83.27,Very High,Compliant,Neutral
2022-01-21,12,0.0006,968323,2.828,17.03,120.62,83.49,74.01,76.79,78.1,Medium,Under Review,Neutral
2022-01-21,13,0.0007,1137116,2.542,16.54,126.43,85.74,78.19,77.43,80.45,Low,Compliant,Bullish
2022-01-21,14,0.001,956715,2.49,16.74,135.81,75.36,82.79,86.64,81.6,Low,Compliant,Neutral
2022-01-21,15,0.0012,1127987,2.91,14.55,120.19,80.87,73.21,87.22,80.43,Low,Compliant,Bullish
2022-01-24,1,0.0014,1124358,2.777,16.62,112.81,73.64,71.77,72.3,72.57,Low,Compliant,Bullish
2022-01-24,2,0.0018,1043900,2.841,15.5,116.28,85.19,88.06,73.62,82.29,High,Compliant,Neutral
2022-01-24,3,0.0019,1085530,2.405,14.22,133.71,79.63,78.04,83.37,80.35,High,Compliant,Bullish
2022-01-24,4,0.0023,1025685,2.589,14.34,128.81,75.24,90.03,85.05,83.44,High,Compliant,Neutral
2022-01-24,5,0.0025,1066170,2.798,16.29,131.08,90.69,76.51,82.24,83.15,Medium,Compliant,Bullish
2022-01-24,6,0.0028,1006177,2.445,15.33,114.59,86.23,85.18,70.91,80.77,Medium,Compliant,Neutral
2022-01-24,7,0.0029,998148,2.708,16.9,114.88,91.55,89.52,72.88,84.65,Low,Compliant,Neutral
2022-01-24,8,0.0032,1055924,2.636,16.48,114.33,82.46,77.25,88.06,82.59,Medium,Compliant,Bullish
